id,title,authors,year,doi,arxiv,url,source_type,notes
2017-sokolovski-crowds-crashes-carry-trade,"Crowds, Crashes, and the Carry Trade","Valeri Sokolovski","2017","","","https://www.nhh.no/contentassets/cb01b0ad6f1744ddb065e325e5b92184/valeri-sokolovski_jmp.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; NHH PDF."
2009-sy-tabarraei-carry-trade-return-crash-risk,"Carry Trade and Return Crash Risk","Mouhamadou Sy; Hamidreza Tabarraei","2009","","","https://shs.hal.science/halshs-00566828/file/wp200914.pdf","DIRECT_PDF","From 51-row CSV; HAL PDF."
2021-von-bromsen-correlated-risk-factors-currency-markets,"Correlated Risk Factors in Currency Markets","T. von Bromsen","2021","","","https://www.lancaster.ac.uk/media/lancaster-university/content-assets/documents/lums/economics/working-papers/LancasterWP2021_008.pdf","DIRECT_PDF","From 51-row CSV; Lancaster working paper PDF."
2008-lustig-roussanov-verdelhan-common-risk-factors-currency-markets,"Common Risk Factors in Currency Markets","Hanno Lustig; Nikolai Roussanov; Adrien Verdelhan","2008","","","https://www.nber.org/system/files/working_papers/w14082/w14082.pdf","DIRECT_PDF","From 169-link list; NBER working paper PDF."
2020-dagenais-carry-trade-currency-momentum-strategies,"The Carry Trade and Currency Momentum Strategies","Veronique Dagenais","2020","","","https://biblos.hec.ca/biblio/memoires/dagenais_veronique_m2020.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; HEC Montreal thesis PDF."
2013-clarke-desilva-thorley-risk-parity-maximum-diversification,"Risk Parity, Maximum Diversification, and Minimum Variance: An Analytic Perspective","Roger Clarke; Harindra de Silva; Steven Thorley","2013","","","https://www.hillsdaleinv.com/uploads/Risk_Parity%2C_Maximum_Diversification%2C_and_Minimum_Variance-_An_Analytic_Perspective.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; Hillsdale PDF."
2010-hurst-johnson-ooi-understanding-risk-parity,"Understanding Risk Parity","Brian Hurst; Bryan Johnson; Yao Hua Ooi","2010","","","https://www.aqr.com/-/media/AQR/Documents/Insights/White-Papers/Understanding-Risk-Parity.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; AQR PDF."
2018-jiang-understanding-alternative-risk-premia,"Understanding Alternative Risk Premia","Shuyuan Jiang","2018","","","https://www.aqr.com/-/media/AQR/Documents/Whitepapers/Understand-Alternative-Risk-Premia.pdf","DIRECT_PDF","From 169-link list; AQR PDF."
2015-asness-ilmanen-israel-moskowitz-investing-with-style,"Investing With Style","Clifford S. Asness; Antti Ilmanen; Ronen Israel; Tobias J. Moskowitz","2015","","","https://www.aqr.com/-/media/AQR/Documents/Insights/Journal-Article/JOIM-Investing-With-Style.pdf","DIRECT_PDF","From 169-link list; AQR PDF."
2017-haesen-hallerbach-markwat-molenaar-enhancing-risk-parity,"Enhancing Risk Parity by Including Views","Daniel Haesen; Winfried G. Hallerbach; Thijs Markwat; Roderick Molenaar","2017","","","https://www.robeco.com/docm/docu-enhancing-risk-parity-by-including-views-2017.pdf","DIRECT_PDF","From 51-row CSV; Robeco PDF."
2019-resolve-risk-parity-methods-measures-success,"Risk Parity: Methods and Measures of Success","ReSolve Asset Management","2019","","","https://investresolve.com/inc/uploads/pdf/risk-parity-methods-and-measures-of-success.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; firm white paper PDF."
2012-kazemi-introduction-risk-parity,"An Introduction to Risk Parity","Hossein Kazemi","2012","","","https://caia.org/sites/default/files/3-all_about_parity.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; CAIA PDF."
2000-white-reality-check-data-snooping,"A Reality Check for Data Snooping","Halbert White","2000","","","https://www.ssc.wisc.edu/~bhansen/718/White2000.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; university course-hosted PDF."
2005-hsu-kuan-technical-analysis-reality-check-spa,"Re-Examining the Profitability of Technical Analysis with White's Reality Check and Hansen's SPA Test","Po-Hsuan Hsu; Chung-Ming Kuan","2005","","","https://homepage.ntu.edu.tw/~ckuan/pdf/snoop01.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; NTU author-hosted PDF."
2011-neuhierl-schlusche-data-snooping-market-timing,"Data Snooping and Market-Timing Rule Performance","Andreas Neuhierl; Bernd Schlusche","2011","","","http://www.efmaefm.org/0EFMAMEETINGS/EFMA%20ANNUAL%20MEETINGS/2010-Aarhus%20old/EFMA2010_0465_fullpaper.pdf","DIRECT_PDF","From 51-row CSV; EFMA conference PDF used instead of SSRN."
2021-anghel-data-snooping-bias-technical-trading-rules,"Data Snooping Bias in Tests of the Relative Performance of Technical Trading Rules","Dumitru Gabriel Anghel","2021","","","http://www.efmaefm.org/0EFMAMEETINGS/EFMA%20ANNUAL%20MEETINGS/2020-Dublin/papers/EFMA%202020_stage-1301_question-Full%20Paper_id-114.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; EFMA conference PDF over HTTP because Node rejects the HTTPS certificate."
2014-bailey-borwein-lopezdeprado-zhu-pseudo-mathematics,"Pseudo-Mathematics and Financial Charlatanism: The Effects of Backtest Overfitting on Out-of-Sample Performance","David H. Bailey; Jonathan M. Borwein; Marcos Lopez de Prado; Qiji Jim Zhu","2014","","","https://obj.portfolioconstructionforum.edu.au/articles_perspectives/Pseudo-mathematics-and-financial-charlatanism.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; Portfolio Construction Forum PDF."
2014-bailey-ger-lopezdeprado-sim-wu-statistical-overfitting,"Statistical Overfitting and Backtest Performance","David H. Bailey; Stephanie Ger; Marcos Lopez de Prado; Alexander Sim; Kesheng Wu","2014","","","https://sdm.lbl.gov/oapapers/ssrn-id2507040-bailey.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; Lawrence Berkeley PDF."
2016-bailey-borwein-lopezdeprado-zhu-probability-backtest-overfitting,"The Probability of Backtest Overfitting","David H. Bailey; Jonathan M. Borwein; Marcos Lopez de Prado; Qiji Jim Zhu","2016","","","https://www.davidhbailey.com/dhbpapers/backtest-prob.pdf","DIRECT_PDF","From 169-link list; author-hosted PDF."
2014-bailey-lopezdeprado-deflated-sharpe,"The Deflated Sharpe Ratio: Correcting for Selection Bias, Backtest Overfitting and Non-Normality","David H. Bailey; Marcos Lopez de Prado","2014","","","https://www.davidhbailey.com/dhbpapers/deflated-sharpe.pdf","DIRECT_PDF","From 169-link list; author-hosted PDF."
2024-joubert-three-types-backtests,"The Three Types of Backtests","Jacques Joubert","2024","","","https://www.hillsdaleinv.com/uploads/The_Three_Types_of_Backtests.pdf","DIRECT_PDF","From 169-link list; Hillsdale PDF."
1956-kelly-new-interpretation-information-rate,"A New Interpretation of Information Rate","J. L. Kelly Jr.","1956","","","https://www.princeton.edu/~wbialek/rome/refs/kelly_56.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; Princeton-hosted PDF."
2020-obrien-generalization-kelly-continuous-outcomes,"A Generalization of the Classical Kelly Betting Formula to Continuous Outcomes","J. D. O'Brien","2020","","2003.02743","https://arxiv.org/abs/2003.02743","ARXIV","From 51-row CSV; arXiv paper."
1999-almgren-chriss-optimal-execution-portfolio-transactions,"Optimal Execution of Portfolio Transactions","Robert Almgren; Neil A. Chriss","1999","","","https://quantitativebrokers.com/s/Optimal-Execution-of-Portfolio-Transaction-_-AlmgrenChriss-1999.pdf","DIRECT_PDF","From 169-link list; legal direct PDF mirror."
2008-fadeev-optimal-execution-for-portfolio-transactions,"Optimal Execution for Portfolio Transactions","A. Fadeev","2008","","","https://dspace.mit.edu/server/api/core/bitstreams/cfd3a5a2-afe7-4eb6-bb2c-b38dd1a82fe8/content","DIRECT_PDF_CONTENT_TYPE","From 51-row CSV and 169-link list; MIT thesis bitstream."
2018-vaes-hauser-optimal-trade-execution-uncertain-volume-target,"Optimal Trade Execution with Uncertain Volume Target","Julien Vaes; Raphael Hauser","2018","","1810.11454","https://arxiv.org/abs/1810.11454","ARXIV","From 51-row CSV; arXiv paper."
1990-markowitz-nobel-lecture,"Markowitz Nobel Lecture","Harry Markowitz","1990","","","https://www.nobelprize.org/uploads/2018/06/markowitz-lecture.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; Nobel Prize PDF."
2026-olkhov-markowitz-portfolio-variance-limited-case,"Markowitz's Portfolio Variance Describes Only a Limited Case of Constant Trade Volumes","Victor Olkhov","2026","","","https://mpra.ub.uni-muenchen.de/128321/1/MPRA_paper_128321.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; MPRA PDF."
2021-pace-toca-backtesting-financial-machine-learning,"Backtesting in Financial Machine Learning","Daniel Pace; Sara Toca","2021","","","https://gauss.vaniercollege.qc.ca/~iti/proj/2021/DS_backtesting.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; Vanier College PDF."
2013-frazzini-israel-moskowitz-novy-marx-new-core-equity-paradigm,"New Core Equity Paradigm","Andrea Frazzini; Ronen Israel; Tobias J. Moskowitz; Robert Novy-Marx","2013","","","https://images.aqr.com/-/media/AQR/Documents/Insights/White-Papers/AQR-A-New-Core-Equity-Paradigm.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; AQR PDF."
