id,title,doi,arxiv,url,pdf_path,sha256,bytes,status,license,source_provider,downloaded_at,failure_reason,text_path,extraction_status,extraction_failure_reason
2011-burnside-carry-trades-risk,Carry Trades and Risk,,,https://www.nber.org/system/files/working_papers/w17278/w17278.pdf,docs/research/papers/pdf/Carry Trades and Risk.pdf,0166010495B5F3DE5ADE7490B9F4F1C7A7B1ED8C5F4D315A538BE20123869552,340423,EXISTS,,direct_pdf,2026-07-07T19:25:06.745Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2008-brunnermeier-nagel-pedersen-carry-trades-currency-crashes,Carry Trades and Currency Crashes,,,https://markus.scholar.princeton.edu/sites/g/files/toruqf2651/files/carry_trades_currency_crashes.pdf,docs/research/papers/pdf/Carry Trades and Currency Crashes.pdf,7A173F1E82018895AEEAE223034644960C0A24B045D33E40522CE45AF9D6729B,1008291,EXISTS,,direct_pdf,2026-07-07T19:25:07.279Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2011-burnside-eichenbaum-rebelo-carry-trade-momentum,Carry Trade and Momentum in Currency Markets,,,https://www.kellogg.northwestern.edu/faculty/rebelo/htm/carry.pdf,docs/research/papers/pdf/Carry Trade and Momentum in Currency Markets.pdf,111EA9C15A477335CBFFC0A091073D7FD2ECF1557EB3EAE8A93E24E61D714DAC,1005853,EXISTS,,direct_pdf,2026-07-07T19:25:08.084Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2014-nbim-currency-carry-trade,The Currency Carry Trade,,,https://www.nbim.no/globalassets/documents/dicussion-paper/2014/discussionnote_currency-carry-trade.pdf,docs/research/papers/pdf/The Currency Carry Trade.pdf,AD27A564724DEAB0BE110922951B1DE4BA11B70718798B5A42D35C55279CCCB1,440945,EXISTS,,direct_pdf,2026-07-07T19:25:08.409Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2026-van-wijnbergen-kutuk-carry-trade-currency-crash-risk,Carry Trade and Currency Crash Risk,,,https://www.econstor.eu/bitstream/10419/331486/1/1938271572.pdf,docs/research/papers/pdf/Carry Trade and Currency Crash Risk.pdf,D245AEDBD41D1B748E407024C668F09D7C3609DD90C423597A3A27C07EA7514F,1376988,EXISTS,,direct_pdf,2026-07-07T19:25:09.891Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2017-sokolovski-crowds-crashes-carry-trade,"Crowds, Crashes, and the Carry Trade",,,https://www.nhh.no/contentassets/cb01b0ad6f1744ddb065e325e5b92184/valeri-sokolovski_jmp.pdf,"docs/research/papers/pdf/Crowds, Crashes, and the Carry Trade.pdf",FB4B9A0D6CBC6D2A4F55304BB2C0E797C9AC0BFB6260C8A6171DDD8D6BA9D937,1492044,EXISTS,,direct_pdf,2026-07-07T19:25:11.370Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2009-sy-tabarraei-carry-trade-return-crash-risk,Carry Trade and Return Crash Risk,,,https://shs.hal.science/halshs-00566828/file/wp200914.pdf,docs/research/papers/pdf/Carry Trade and Return Crash Risk.pdf,8DFD8E511C9BCD3F4AB7BF6C5AA40DC38FDC77139AF9BFF8837ECF0BDEBB2B5E,1149770,EXISTS,,direct_pdf,2026-07-07T19:25:13.780Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2021-von-bromsen-correlated-risk-factors-currency-markets,Correlated Risk Factors in Currency Markets,,,https://www.lancaster.ac.uk/media/lancaster-university/content-assets/documents/lums/economics/working-papers/LancasterWP2021_008.pdf,docs/research/papers/pdf/Correlated Risk Factors in Currency Markets.pdf,6BFC2A45C98AB8DE6387E8FCDACCA70B4D82D370B40740C5824007FC66D737D3,942476,EXISTS,,direct_pdf,2026-07-07T19:25:14.998Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2008-lustig-roussanov-verdelhan-common-risk-factors-currency-markets,Common Risk Factors in Currency Markets,,,https://www.nber.org/system/files/working_papers/w14082/w14082.pdf,docs/research/papers/pdf/Common Risk Factors in Currency Markets.pdf,968805B4B4F07F8487CCBF0C2C22B0FD3F81E37C265D0131134117FFDA311112,622176,EXISTS,,direct_pdf,2026-07-07T19:25:17.480Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2020-dagenais-carry-trade-currency-momentum-strategies,The Carry Trade and Currency Momentum Strategies,,,https://biblos.hec.ca/biblio/memoires/dagenais_veronique_m2020.pdf,docs/research/papers/pdf/The Carry Trade and Currency Momentum Strategies.pdf,BE597FE5F3710A6A8AF3DFC138175D9275DBBF27A46D397A3AFD5A983C21BFDB,11404133,EXISTS,,direct_pdf,2026-07-07T19:25:18.727Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2013-clarke-desilva-thorley-risk-parity-maximum-diversification,"Risk Parity, Maximum Diversification, and Minimum Variance: An Analytic Perspective",,,https://www.hillsdaleinv.com/uploads/Risk_Parity%2C_Maximum_Diversification%2C_and_Minimum_Variance-_An_Analytic_Perspective.pdf,"docs/research/papers/pdf/Risk Parity, Maximum Diversification, and Minimum Variance an Analytic Perspective.pdf",AF95AAD1D6AE9120E1DFBB36155AFB39A7AF5766C37BB9B69A8F947C8F2556C8,873167,EXISTS,,direct_pdf,2026-07-07T19:25:19.433Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2010-hurst-johnson-ooi-understanding-risk-parity,Understanding Risk Parity,,,https://www.aqr.com/-/media/AQR/Documents/Insights/White-Papers/Understanding-Risk-Parity.pdf,docs/research/papers/pdf/Understanding Risk Parity.pdf,97BAE28CCCE2531D1BAC8980DB2D743957AFE9D50D35C6EE9B91F5BDD249D184,491006,EXISTS,,direct_pdf,2026-07-07T19:25:20.136Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2018-jiang-understanding-alternative-risk-premia,Understanding Alternative Risk Premia,,,https://www.aqr.com/-/media/AQR/Documents/Whitepapers/Understand-Alternative-Risk-Premia.pdf,docs/research/papers/pdf/Understanding Alternative Risk Premia.pdf,E180766A1A55D56125BBA8AB2656D7AAB2B99644CB683085F98C0068237BDEEC,434144,EXISTS,,direct_pdf,2026-07-07T19:25:20.569Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2015-asness-ilmanen-israel-moskowitz-investing-with-style,Investing With Style,,,https://www.aqr.com/-/media/AQR/Documents/Insights/Journal-Article/JOIM-Investing-With-Style.pdf,docs/research/papers/pdf/Investing with Style.pdf,0E3BBE91CC90710A8E1DC58648CF171D1FC260BBC75FF307AB6D78140F62C4BD,909632,EXISTS,,direct_pdf,2026-07-07T19:25:21.083Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2017-haesen-hallerbach-markwat-molenaar-enhancing-risk-parity,Enhancing Risk Parity by Including Views,,,https://www.robeco.com/docm/docu-enhancing-risk-parity-by-including-views-2017.pdf,docs/research/papers/pdf/Enhancing Risk Parity by Including Views.pdf,03FD82244995189FB4A9959BB2DB61111A2A89EE9E86D9D8637DF0F08D5F0941,4071858,EXISTS,,direct_pdf,2026-07-07T19:25:23.378Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2019-resolve-risk-parity-methods-measures-success,Risk Parity: Methods and Measures of Success,,,https://investresolve.com/inc/uploads/pdf/risk-parity-methods-and-measures-of-success.pdf,docs/research/papers/pdf/Risk Parity Methods and Measures of Success.pdf,BAF653E8591EC1909FAE322D3D83F41C27C4D3C38A837585CE97E02450C95D09,5180741,EXISTS,,direct_pdf,2026-07-07T19:25:24.212Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2012-kazemi-introduction-risk-parity,An Introduction to Risk Parity,,,https://caia.org/sites/default/files/3-all_about_parity.pdf,docs/research/papers/pdf/An Introduction to Risk Parity.pdf,9579AAF5BBFF95ED523EE7B4AD5861013A7AD76F15959039823EA85F94996A39,186005,EXISTS,,direct_pdf,2026-07-07T19:25:24.490Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2000-white-reality-check-data-snooping,A Reality Check for Data Snooping,,,https://www.ssc.wisc.edu/~bhansen/718/White2000.pdf,docs/research/papers/pdf/A Reality Check for Data Snooping.pdf,675EB3226DEE3AF4DFA8089410F9BBF0A2798C7B58985C8334C42FB4983A9743,259584,EXISTS,,direct_pdf,2026-07-07T19:25:24.925Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2005-hsu-kuan-technical-analysis-reality-check-spa,Re-Examining the Profitability of Technical Analysis with White's Reality Check and Hansen's SPA Test,,,https://homepage.ntu.edu.tw/~ckuan/pdf/snoop01.pdf,docs/research/papers/pdf/Re-Examining the Profitability of Technical Analysis with White's Reality Check and Hansen's SPA Test.pdf,DC2E03A4AE8A13A640C8CF46492FF9B9B66323E0D45EC8DE4910C5B3FC98F71E,187801,EXISTS,,direct_pdf,2026-07-07T19:25:26.881Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2011-neuhierl-schlusche-data-snooping-market-timing,Data Snooping and Market-Timing Rule Performance,,,http://www.efmaefm.org/0EFMAMEETINGS/EFMA%20ANNUAL%20MEETINGS/2010-Aarhus%20old/EFMA2010_0465_fullpaper.pdf,docs/research/papers/pdf/Data Snooping and Market-Timing Rule Performance.pdf,5A2CE31A518FC16E23815AC23E3516BEB2245303227D19EAF42F96208C6DC1DB,1286035,EXISTS,,direct_pdf,2026-07-07T19:25:27.492Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2021-anghel-data-snooping-bias-technical-trading-rules,Data Snooping Bias in Tests of the Relative Performance of Technical Trading Rules,,,http://www.efmaefm.org/0EFMAMEETINGS/EFMA%20ANNUAL%20MEETINGS/2020-Dublin/papers/EFMA%202020_stage-1301_question-Full%20Paper_id-114.pdf,docs/research/papers/pdf/Data Snooping Bias in Tests of the Relative Performance of Technical Trading Rules.pdf,7D386113F8A2CEE1CC546D0108DFCB5E043B1BC0FB378DA2FD175494AAA419A5,2238558,EXISTS,,direct_pdf,2026-07-07T19:25:27.899Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2014-bailey-borwein-lopezdeprado-zhu-pseudo-mathematics,Pseudo-Mathematics and Financial Charlatanism: The Effects of Backtest Overfitting on Out-of-Sample Performance,,,https://obj.portfolioconstructionforum.edu.au/articles_perspectives/Pseudo-mathematics-and-financial-charlatanism.pdf,docs/research/papers/pdf/Pseudo-Mathematics and Financial Charlatanism the Effects of Backtest Overfitting on Out-Of-Sample Performance.pdf,77D6CEADE397BFA467CC2D05325842F6A5EBF313FBD017C20444B943AEE7D640,975628,EXISTS,,direct_pdf,2026-07-07T19:25:30.130Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2014-bailey-ger-lopezdeprado-sim-wu-statistical-overfitting,Statistical Overfitting and Backtest Performance,,,https://sdm.lbl.gov/oapapers/ssrn-id2507040-bailey.pdf,docs/research/papers/pdf/Statistical Overfitting and Backtest Performance.pdf,81F7F2CBCC1DEC248894EC5B8AFCDFAFD1250EA2D213704796FEFAF4903E7C1B,681005,EXISTS,,direct_pdf,2026-07-07T19:25:30.389Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2016-bailey-borwein-lopezdeprado-zhu-probability-backtest-overfitting,The Probability of Backtest Overfitting,,,https://www.davidhbailey.com/dhbpapers/backtest-prob.pdf,docs/research/papers/pdf/The Probability of Backtest Overfitting.pdf,D8BFBADAAEDB430D9DEC929646D92F3580FDF18238F34121AE7738FA1C69A63D,1145522,EXISTS,,direct_pdf,2026-07-07T19:25:31.570Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2014-bailey-lopezdeprado-deflated-sharpe,"The Deflated Sharpe Ratio: Correcting for Selection Bias, Backtest Overfitting and Non-Normality",,,https://www.davidhbailey.com/dhbpapers/deflated-sharpe.pdf,"docs/research/papers/pdf/The Deflated Sharpe Ratio Correcting for Selection Bias, Backtest Overfitting and Non-Normality.pdf",CA4A1E834A2954B84EB560776E903329CD9CEF318D458AADF6D67BC8166D10B5,1048118,EXISTS,,direct_pdf,2026-07-07T19:25:31.868Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2024-joubert-three-types-backtests,The Three Types of Backtests,,,https://www.hillsdaleinv.com/uploads/The_Three_Types_of_Backtests.pdf,docs/research/papers/pdf/The Three Types of Backtests.pdf,07003E270E6F1E106D8E4BDB0F34E33E5E3F3DEA3B92F117568BADF05D18CEEB,445368,EXISTS,,direct_pdf,2026-07-07T19:25:32.503Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
1956-kelly-new-interpretation-information-rate,A New Interpretation of Information Rate,,,https://www.princeton.edu/~wbialek/rome/refs/kelly_56.pdf,docs/research/papers/pdf/A New Interpretation of Information Rate.pdf,D422B93805694672F64A1DAACBC7396504D4718F55D115C45CD29AFBC5A477BB,102470,EXISTS,,direct_pdf,2026-07-07T19:25:32.946Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2020-obrien-generalization-kelly-continuous-outcomes,A Generalization of the Classical Kelly Betting Formula to Continuous Outcomes,,2003.02743,https://arxiv.org/abs/2003.02743,docs/research/papers/pdf/A Generalization of the Classical Kelly Betting Formula to Continuous Outcomes.pdf,6A826BCEE45F5684819DE42D71C87F01E8E86EF9C70F490A0C3BB3D0118C9BA5,189677,EXISTS,,arxiv,2026-07-07T19:25:33.302Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
1999-almgren-chriss-optimal-execution-portfolio-transactions,Optimal Execution of Portfolio Transactions,,,https://quantitativebrokers.com/s/Optimal-Execution-of-Portfolio-Transaction-_-AlmgrenChriss-1999.pdf,docs/research/papers/pdf/Optimal Execution of Portfolio Transactions.pdf,A503B256F277D2E284F7AC05847CDA329E1F9CCD8C6EDAF614BC7B5EE6916701,493308,EXISTS,,direct_pdf,2026-07-07T19:25:33.862Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2008-fadeev-optimal-execution-for-portfolio-transactions,Optimal Execution for Portfolio Transactions,,,https://dspace.mit.edu/server/api/core/bitstreams/cfd3a5a2-afe7-4eb6-bb2c-b38dd1a82fe8/content,docs/research/papers/pdf/Optimal Execution for Portfolio Transactions.pdf,E394473F3C26C9D087E45334001AF1919A0562FA49BA240C402C18525779A305,4643681,EXISTS,,direct_pdf_content_type,2026-07-07T19:25:35.022Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2018-vaes-hauser-optimal-trade-execution-uncertain-volume-target,Optimal Trade Execution with Uncertain Volume Target,,1810.11454,https://arxiv.org/abs/1810.11454,docs/research/papers/pdf/Optimal Trade Execution with Uncertain Volume Target.pdf,872805D1719E74A57746861CF63F6A5CAC5D718CEE036D479520CD438FEBCF9E,1314257,EXISTS,,arxiv,2026-07-07T19:25:35.413Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
1990-markowitz-nobel-lecture,Markowitz Nobel Lecture,,,https://www.nobelprize.org/uploads/2018/06/markowitz-lecture.pdf,docs/research/papers/pdf/Markowitz Nobel Lecture.pdf,A7CA5A25B4A10371D2EA68EEE9BB2ABC4C7BA2FDE62925E565BFBA46CD00A1E9,238540,EXISTS,,direct_pdf,2026-07-07T19:25:35.656Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2026-olkhov-markowitz-portfolio-variance-limited-case,Markowitz's Portfolio Variance Describes Only a Limited Case of Constant Trade Volumes,,,https://mpra.ub.uni-muenchen.de/128321/1/MPRA_paper_128321.pdf,docs/research/papers/pdf/Markowitz's Portfolio Variance Describes Only a Limited Case of Constant Trade Volumes.pdf,3508BC7731D62E9247A6A6845EDBD654437CA7CDA184666086E7C651D3EF25D4,477213,EXISTS,,direct_pdf,2026-07-07T19:25:36.781Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2021-pace-toca-backtesting-financial-machine-learning,Backtesting in Financial Machine Learning,,,https://gauss.vaniercollege.qc.ca/~iti/proj/2021/DS_backtesting.pdf,docs/research/papers/pdf/Backtesting in Financial Machine Learning.pdf,BA84FE38070908755566E8335E43CFFF5849831C7884A1B25A0ED429FDA47FCD,482881,EXISTS,,direct_pdf,2026-07-07T19:25:37.135Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2013-frazzini-israel-moskowitz-novy-marx-new-core-equity-paradigm,New Core Equity Paradigm,,,https://images.aqr.com/-/media/AQR/Documents/Insights/White-Papers/AQR-A-New-Core-Equity-Paradigm.pdf,docs/research/papers/pdf/New Core Equity Paradigm.pdf,D858F6C0A0326BEF2100C4F746BDC170369015999411898217C0AF5DF2290F3C,5855155,EXISTS,,direct_pdf,2026-07-07T19:25:39.925Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
