"id","title","authors_or_institution","source_url","downloaded_at_utc","local_path","sha256","license_or_access_note","topic_tags","limni_relevance"
"2024-loras-transaction-costs-slippage-algorithmic-trading","The impact of transactions costs and slippage on algorithmic trading performance","Romain Loras","https://www.researchgate.net/publication/384458498_The_impact_of_transactions_costs_and_slippage_on_algorithmic_trading_performance","2026-07-07T18:31:41Z","docs/literature/papers/The Impact Of Transactions Costs and Slippage On Algorithmic Trading.pdf","E370EA65C9330CE7904FAF92D72F87D484EBAC89E9BF1F535D796AF29C57EBBF","ResearchGate author-uploaded full text; content may be subject to copyright","transaction-costs; slippage; backtest-realism; execution-costs","Relevant background for slippage and cost-aware backtesting; lower-confidence source until stronger peer-reviewed support is found."
"2015-bailey-borwein-lopezdeprado-zhu-backtest-overfitting","The Probability of Backtest Overfitting","David H. Bailey; Jonathan M. Borwein; Marcos Lopez de Prado; Qiji Jim Zhu","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2326253","2026-07-07T18:31:41Z","docs/literature/papers/The Probability of Backtest Overfitting.pdf","C80ED793BD485868C1330E7D83141E26CB8178EF62CD3C57A469168203969ECB","SSRN preprint; Journal of Computational Finance DOI 10.21314/JCF.2016.322; user-supplied local copy","backtest-overfitting; pbo; cross-validation; strategy-selection; research-discipline","Highly relevant to Limni research discipline because it formalizes overfitting risk in investment simulations and strategy selection."
"2014-bailey-lopezdeprado-deflated-sharpe-ratio","The Deflated Sharpe Ratio: Correcting for Selection Bias, Backtest Overfitting and Non-Normality","David H. Bailey; Marcos Lopez de Prado","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2460551","2026-07-07T18:31:41Z","docs/literature/papers/The Deflated Sharpe Ratio Correcting for Selection Bias, Backtest Overfitting and Non-Normality.pdf","49CA99AB88DE38D0AB0D48F79046FE1391DEA575A33B4F4C0290D801A647C37D","SSRN preprint; Journal of Portfolio Management DOI 10.3905/jpm.2014.40.5.094; user-supplied local copy","deflated-sharpe-ratio; selection-bias; backtest-overfitting; non-normality; multiple-testing","Highly relevant to Limni research discipline because it corrects performance statistics for selection bias, multiple testing, backtest overfitting, and non-normal returns."
"2015-asness-ilmanen-israel-moskowitz-investing-with-style","Investing With Style","Clifford S. Asness; Antti Ilmanen; Ronen Israel; Tobias J. Moskowitz","https://www.aqr.com/-/media/AQR/Documents/Insights/Journal-Article/JOIM-Investing-With-Style.pdf","2026-07-07T18:31:41Z","docs/literature/papers/Investing With Style.pdf","0E3BBE91CC90710A8E1DC58648CF171D1FC260BBC75FF307AB6D78140F62C4BD","AQR public journal-article PDF; Journal of Investment Management 13(1) 27-63; user-supplied local copy","style-premia; factor-investing; value; momentum; carry; defensive","Relevant for style premia design, cross-asset diversification, and separating durable factors from strategy-specific signals."
"2018-aqr-understanding-alternative-risk-premia","Understanding Alternative Risk Premia","Ing-Chea Ang; Sarah Jiang; Thomas Maloney; Scott Metchick; AQR Capital Management","https://www.aqr.com/Insights/Research/White-Papers/Understanding-Alternative-Risk-Premia","2026-07-07T18:31:41Z","docs/literature/papers/Understand Alternative Risk Premia.pdf","E180766A1A55D56125BBA8AB2656D7AAB2B99644CB683085F98C0068237BDEEC","AQR public white paper PDF","alternative-risk-premia; factor-investing; value; momentum; carry; trend-following","Relevant for factor/risk-premia taxonomy, diversification, style premia, and future macro/factor overlays."
"2013-asness-moskowitz-pedersen-value-momentum-everywhere","Value and Momentum Everywhere","Clifford S. Asness; Tobias J. Moskowitz; Lasse H. Pedersen","https://doi.org/10.1111/jofi.12021","2026-07-07T18:31:41Z","docs/literature/papers/Value and Momentum Everywhere.pdf","400DA98388D426C97172DDBFF80630DE6FCEE6D54510243A139504486D317393","Canonical Journal of Finance DOI; user-supplied local copy","value; momentum; cross-asset; factor-premia; liquidity-risk","Relevant for value/momentum cross-asset premia, negative correlation, liquidity risk, and factor overlay research."
"2010-cont-stoikov-talreja-order-book-dynamics","A Stochastic Model for Order Book Dynamics","Rama Cont; Sasha Stoikov; Rishi Talreja","https://www.columbia.edu/~ww2040/orderbook.pdf","2026-07-07T19:24:57.627Z","docs/literature/papers/A Stochastic Model for Order Book Dynamics.pdf","23181104D259F7A17D8A9CF66C24FD26BA02D363FE509E20D90A27555C2967E2","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","market-microstructure; hft; market-making; order-book","Relevant to market microstructure, HFT, market-making, order-book dynamics, and execution mechanics."
"2013-hoffmann-dynamic-limit-order-market","A Dynamic Limit Order Market with Fast and Slow Traders","Peter Hoffmann","https://www.ecb.europa.eu/pub/pdf/scpwps/ecbwp1526.pdf","2026-07-07T19:24:58.828Z","docs/literature/papers/A Dynamic Limit Order Market with Fast and Slow Traders.pdf","2BC89D18771A0028496B0F6AFE559D066F415DAAE56FBD5F1BF046CD4B58FC8A","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","market-microstructure; hft; market-making; order-book","Relevant to market microstructure, HFT, market-making, order-book dynamics, and execution mechanics."
"2019-law-pure-jump-market-making","A Pure-Jump Market-Making Model for High-Frequency Trading under a Limit Order Book","Bradley Law","https://arxiv.org/abs/1912.12810","2026-07-07T19:24:59.302Z","docs/literature/papers/A Pure-Jump Market-Making Model for High-Frequency Trading Under a Limit Order Book.pdf","9C1540B9A7E076496123CAE833B55D89DC555884C79AA1FBD59A9823718FD5D0","Legal public PDF from Batch 02 ingestion; provider=arxiv; PDFs copied into docs/literature on 2026-07-07.","market-microstructure; hft; market-making; order-book","Relevant to market microstructure, HFT, market-making, order-book dynamics, and execution mechanics."
"2024-chen-shue-limit-order-book-rough-volatility","A Limit Order Book Model for High Frequency Trading with Rough Volatility","Yun Chen-Shue; Yukun Li; Jiongmin Yong","https://arxiv.org/abs/2412.16850","2026-07-07T19:24:59.777Z","docs/literature/papers/A Limit Order Book Model for High Frequency Trading with Rough Volatility.pdf","197CC40E1C117AA3CB7E587020D45BA5E5CB010FE4F45C5E9D6502492A654268","Legal public PDF from Batch 02 ingestion; provider=arxiv; PDFs copied into docs/literature on 2026-07-07.","market-microstructure; hft; market-making; order-book","Relevant to market microstructure, HFT, market-making, order-book dynamics, and execution mechanics."
"2013-hasbrouck-saar-low-latency-trading","Low-Latency Trading","Joel Hasbrouck; Gideon Saar","https://pages.stern.nyu.edu/~jhasbrou/Research/lowLatencyTrading/lowLatencyTradingHasbrouckSaarJFM.pdf","2026-07-07T19:25:00.497Z","docs/literature/papers/Low-Latency Trading.pdf","B253FB5F00C16E1BB91616F8D889A706751A931881E685734EB173DEEADB61E0","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","market-microstructure; hft; market-making; order-book","Relevant to market microstructure, HFT, market-making, order-book dynamics, and execution mechanics."
"2019-chordia-market-efficiency-real-time-low-latency","Market Efficiency in Real Time: Evidence from Low Latency Trading","Tarun Chordia; Amit Goyal; Narasimhan Jegadeesh; Hitesh Shah; Avanidhar Subrahmanyam","https://mitsloan.mit.edu/sites/default/files/inline-files/Chordia_Miao.pdf","2026-07-07T19:25:00.915Z","docs/literature/papers/Market Efficiency in Real Time Evidence from Low Latency Trading.pdf","5264BAB8757A61E0038D6FBE833BFDA9FD4941543F32DC54B94C9101657B57CB","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","market-microstructure; hft; market-making; order-book","Relevant to market microstructure, HFT, market-making, order-book dynamics, and execution mechanics."
"2013-boehmer-shankar-low-latency-comovement","Low Latency Trading and the Comovement of Order Flow, Prices, and Market Conditions","Ekkehart Boehmer; R. L. Shankar","https://w4.stern.nyu.edu/finance/docs/WP/2014/Low%20latency%20trading%20and%20comovement.pdf","2026-07-07T19:26:45.327Z","docs/literature/papers/Low Latency Trading and the Comovement of Order Flow, Prices, and Market Conditions.pdf","31E613EB30AABE57EB69B3989418EC975482AAC29DA27D63B8B95C925C69408B","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","market-microstructure; hft; market-making; order-book","Relevant to market microstructure, HFT, market-making, order-book dynamics, and execution mechanics."
"2012-moskowitz-ooi-pedersen-time-series-momentum","Time Series Momentum","Tobias J. Moskowitz; Yao Hua Ooi; Lasse H. Pedersen","https://w4.stern.nyu.edu/facdir/lpederse/papers/TimeSeriesMomentum.pdf","2026-07-07T19:25:02.828Z","docs/literature/papers/Time Series Momentum.pdf","7682F8E97EB4B77591DC85E36731FF51ED031970CDDE81678108734DB9478379","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","factor-investing; momentum; style-premia; cross-asset","Relevant to factor/style premia, momentum, carry, diversification, and future overlay research."
"2019-gupta-kelly-factor-momentum-everywhere","Factor Momentum Everywhere","Tarun Gupta; Bryan T. Kelly","https://www.aqr.com/-/media/AQR/Documents/Insights/Journal-Article/Factor-Momentum-Everywhere-JPM-Quant-19.pdf?sc_lang=en","2026-07-07T19:25:05.537Z","docs/literature/papers/Factor Momentum Everywhere.pdf","C7577C1DB1C457E2C2186C1B53410B0C12FFBA61F5B20835A34705AE8C41C49E","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","factor-investing; momentum; style-premia; cross-asset","Relevant to factor/style premia, momentum, carry, diversification, and future overlay research."
"2011-burnside-carry-trades-risk","Carry Trades and Risk","Craig Burnside","https://www.nber.org/system/files/working_papers/w17278/w17278.pdf","2026-07-07T19:25:06.745Z","docs/literature/papers/Carry Trades and Risk.pdf","0166010495B5F3DE5ADE7490B9F4F1C7A7B1ED8C5F4D315A538BE20123869552","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","fx; carry; currency-risk-premia; crash-risk","Relevant to FX carry, currency risk premia, crash risk, and portfolio-level currency exposure research."
"2011-burnside-eichenbaum-rebelo-carry-trade-momentum","Carry Trade and Momentum in Currency Markets","Craig Burnside; Martin Eichenbaum; Sergio Rebelo","https://www.kellogg.northwestern.edu/faculty/rebelo/htm/carry.pdf","2026-07-07T19:25:08.084Z","docs/literature/papers/Carry Trade and Momentum in Currency Markets.pdf","111EA9C15A477335CBFFC0A091073D7FD2ECF1557EB3EAE8A93E24E61D714DAC","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","fx; carry; currency-risk-premia; crash-risk","Relevant to FX carry, currency risk premia, crash risk, and portfolio-level currency exposure research."
"2014-nbim-currency-carry-trade","The Currency Carry Trade","NBIM","https://www.nbim.no/globalassets/documents/dicussion-paper/2014/discussionnote_currency-carry-trade.pdf","2026-07-07T19:25:08.409Z","docs/literature/papers/The Currency Carry Trade.pdf","AD27A564724DEAB0BE110922951B1DE4BA11B70718798B5A42D35C55279CCCB1","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","fx; carry; currency-risk-premia; crash-risk","Relevant to FX carry, currency risk premia, crash risk, and portfolio-level currency exposure research."
"2026-van-wijnbergen-kutuk-carry-trade-currency-crash-risk","Carry Trade and Currency Crash Risk","Sweder van Wijnbergen; Merve Kutuk","https://www.econstor.eu/bitstream/10419/331486/1/1938271572.pdf","2026-07-07T19:25:09.891Z","docs/literature/papers/Carry Trade and Currency Crash Risk.pdf","D245AEDBD41D1B748E407024C668F09D7C3609DD90C423597A3A27C07EA7514F","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","fx; carry; currency-risk-premia; crash-risk","Relevant to FX carry, currency risk premia, crash risk, and portfolio-level currency exposure research."
"2017-sokolovski-crowds-crashes-carry-trade","Crowds, Crashes, and the Carry Trade","Valeri Sokolovski","https://www.nhh.no/contentassets/cb01b0ad6f1744ddb065e325e5b92184/valeri-sokolovski_jmp.pdf","2026-07-07T19:25:11.370Z","docs/literature/papers/Crowds, Crashes, and the Carry Trade.pdf","FB4B9A0D6CBC6D2A4F55304BB2C0E797C9AC0BFB6260C8A6171DDD8D6BA9D937","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","fx; carry; currency-risk-premia; crash-risk","Relevant to FX carry, currency risk premia, crash risk, and portfolio-level currency exposure research."
"2009-sy-tabarraei-carry-trade-return-crash-risk","Carry Trade and Return Crash Risk","Mouhamadou Sy; Hamidreza Tabarraei","https://shs.hal.science/halshs-00566828/file/wp200914.pdf","2026-07-07T19:25:13.780Z","docs/literature/papers/Carry Trade and Return Crash Risk.pdf","8DFD8E511C9BCD3F4AB7BF6C5AA40DC38FDC77139AF9BFF8837ECF0BDEBB2B5E","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","fx; carry; currency-risk-premia; crash-risk","Relevant to FX carry, currency risk premia, crash risk, and portfolio-level currency exposure research."
"2021-von-bromsen-correlated-risk-factors-currency-markets","Correlated Risk Factors in Currency Markets","T. von Bromsen","https://www.lancaster.ac.uk/media/lancaster-university/content-assets/documents/lums/economics/working-papers/LancasterWP2021_008.pdf","2026-07-07T19:25:14.998Z","docs/literature/papers/Correlated Risk Factors in Currency Markets.pdf","6BFC2A45C98AB8DE6387E8FCDACCA70B4D82D370B40740C5824007FC66D737D3","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","fx; carry; currency-risk-premia; crash-risk","Relevant to FX carry, currency risk premia, crash risk, and portfolio-level currency exposure research."
"2020-dagenais-carry-trade-currency-momentum-strategies","The Carry Trade and Currency Momentum Strategies","Veronique Dagenais","https://biblos.hec.ca/biblio/memoires/dagenais_veronique_m2020.pdf","2026-07-07T19:25:18.727Z","docs/literature/papers/The Carry Trade and Currency Momentum Strategies.pdf","BE597FE5F3710A6A8AF3DFC138175D9275DBBF27A46D397A3AFD5A983C21BFDB","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","fx; carry; currency-risk-premia; crash-risk","Relevant to FX carry, currency risk premia, crash risk, and portfolio-level currency exposure research."
"2013-clarke-desilva-thorley-risk-parity-maximum-diversification","Risk Parity, Maximum Diversification, and Minimum Variance: An Analytic Perspective","Roger Clarke; Harindra de Silva; Steven Thorley","https://www.hillsdaleinv.com/uploads/Risk_Parity%2C_Maximum_Diversification%2C_and_Minimum_Variance-_An_Analytic_Perspective.pdf","2026-07-07T19:25:19.433Z","docs/literature/papers/Risk Parity, Maximum Diversification, and Minimum Variance an Analytic Perspective.pdf","AF95AAD1D6AE9120E1DFBB36155AFB39A7AF5766C37BB9B69A8F947C8F2556C8","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","risk-parity; portfolio-construction; allocation; diversification","Relevant to portfolio construction, allocation, diversification, and risk-budgeting research."
"2010-hurst-johnson-ooi-understanding-risk-parity","Understanding Risk Parity","Brian Hurst; Bryan Johnson; Yao Hua Ooi","https://www.aqr.com/-/media/AQR/Documents/Insights/White-Papers/Understanding-Risk-Parity.pdf","2026-07-07T19:25:20.136Z","docs/literature/papers/Understanding Risk Parity.pdf","97BAE28CCCE2531D1BAC8980DB2D743957AFE9D50D35C6EE9B91F5BDD249D184","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","risk-parity; portfolio-construction; allocation; diversification","Relevant to portfolio construction, allocation, diversification, and risk-budgeting research."
"2017-haesen-hallerbach-markwat-molenaar-enhancing-risk-parity","Enhancing Risk Parity by Including Views","Daniel Haesen; Winfried G. Hallerbach; Thijs Markwat; Roderick Molenaar","https://www.robeco.com/docm/docu-enhancing-risk-parity-by-including-views-2017.pdf","2026-07-07T19:25:23.378Z","docs/literature/papers/Enhancing Risk Parity by Including Views.pdf","03FD82244995189FB4A9959BB2DB61111A2A89EE9E86D9D8637DF0F08D5F0941","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","risk-parity; portfolio-construction; allocation; diversification","Relevant to portfolio construction, allocation, diversification, and risk-budgeting research."
"2019-resolve-risk-parity-methods-measures-success","Risk Parity: Methods and Measures of Success","ReSolve Asset Management","https://investresolve.com/inc/uploads/pdf/risk-parity-methods-and-measures-of-success.pdf","2026-07-07T19:25:24.212Z","docs/literature/papers/Risk Parity Methods and Measures of Success.pdf","BAF653E8591EC1909FAE322D3D83F41C27C4D3C38A837585CE97E02450C95D09","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","risk-parity; portfolio-construction; allocation; diversification","Relevant to portfolio construction, allocation, diversification, and risk-budgeting research."
"2012-kazemi-introduction-risk-parity","An Introduction to Risk Parity","Hossein Kazemi","https://caia.org/sites/default/files/3-all_about_parity.pdf","2026-07-07T19:25:24.490Z","docs/literature/papers/An Introduction to Risk Parity.pdf","9579AAF5BBFF95ED523EE7B4AD5861013A7AD76F15959039823EA85F94996A39","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","risk-parity; portfolio-construction; allocation; diversification","Relevant to portfolio construction, allocation, diversification, and risk-budgeting research."
"2000-white-reality-check-data-snooping","A Reality Check for Data Snooping","Halbert White","https://www.ssc.wisc.edu/~bhansen/718/White2000.pdf","2026-07-07T19:25:24.925Z","docs/literature/papers/A Reality Check for Data Snooping.pdf","675EB3226DEE3AF4DFA8089410F9BBF0A2798C7B58985C8334C42FB4983A9743","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","backtest-overfitting; data-snooping; research-discipline; multiple-testing","Relevant to Limni research discipline, multiple-testing control, backtest overfitting, and performance-statistic skepticism."
"2005-hsu-kuan-technical-analysis-reality-check-spa","Re-Examining the Profitability of Technical Analysis with White's Reality Check and Hansen's SPA Test","Po-Hsuan Hsu; Chung-Ming Kuan","https://homepage.ntu.edu.tw/~ckuan/pdf/snoop01.pdf","2026-07-07T19:25:26.881Z","docs/literature/papers/Re-Examining the Profitability of Technical Analysis with White's Reality Check and Hansen's SPA Test.pdf","DC2E03A4AE8A13A640C8CF46492FF9B9B66323E0D45EC8DE4910C5B3FC98F71E","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","backtest-overfitting; data-snooping; research-discipline; multiple-testing","Relevant to Limni research discipline, multiple-testing control, backtest overfitting, and performance-statistic skepticism."
"2011-neuhierl-schlusche-data-snooping-market-timing","Data Snooping and Market-Timing Rule Performance","Andreas Neuhierl; Bernd Schlusche","http://www.efmaefm.org/0EFMAMEETINGS/EFMA%20ANNUAL%20MEETINGS/2010-Aarhus%20old/EFMA2010_0465_fullpaper.pdf","2026-07-07T19:25:27.492Z","docs/literature/papers/Data Snooping and Market-Timing Rule Performance.pdf","5A2CE31A518FC16E23815AC23E3516BEB2245303227D19EAF42F96208C6DC1DB","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","backtest-overfitting; data-snooping; research-discipline; multiple-testing","Relevant to Limni research discipline, multiple-testing control, backtest overfitting, and performance-statistic skepticism."
"2021-anghel-data-snooping-bias-technical-trading-rules","Data Snooping Bias in Tests of the Relative Performance of Technical Trading Rules","Dumitru Gabriel Anghel","http://www.efmaefm.org/0EFMAMEETINGS/EFMA%20ANNUAL%20MEETINGS/2020-Dublin/papers/EFMA%202020_stage-1301_question-Full%20Paper_id-114.pdf","2026-07-07T19:25:27.899Z","docs/literature/papers/Data Snooping Bias in Tests of the Relative Performance of Technical Trading Rules.pdf","7D386113F8A2CEE1CC546D0108DFCB5E043B1BC0FB378DA2FD175494AAA419A5","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","backtest-overfitting; data-snooping; research-discipline; multiple-testing","Relevant to Limni research discipline, multiple-testing control, backtest overfitting, and performance-statistic skepticism."
"2014-bailey-borwein-lopezdeprado-zhu-pseudo-mathematics","Pseudo-Mathematics and Financial Charlatanism: The Effects of Backtest Overfitting on Out-of-Sample Performance","David H. Bailey; Jonathan M. Borwein; Marcos Lopez de Prado; Qiji Jim Zhu","https://obj.portfolioconstructionforum.edu.au/articles_perspectives/Pseudo-mathematics-and-financial-charlatanism.pdf","2026-07-07T19:25:30.130Z","docs/literature/papers/Pseudo-Mathematics and Financial Charlatanism the Effects of Backtest Overfitting on Out-Of-Sample Performance.pdf","77D6CEADE397BFA467CC2D05325842F6A5EBF313FBD017C20444B943AEE7D640","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","backtest-overfitting; data-snooping; research-discipline; multiple-testing","Relevant to Limni research discipline, multiple-testing control, backtest overfitting, and performance-statistic skepticism."
"2014-bailey-ger-lopezdeprado-sim-wu-statistical-overfitting","Statistical Overfitting and Backtest Performance","David H. Bailey; Stephanie Ger; Marcos Lopez de Prado; Alexander Sim; Kesheng Wu","https://sdm.lbl.gov/oapapers/ssrn-id2507040-bailey.pdf","2026-07-07T19:25:30.389Z","docs/literature/papers/Statistical Overfitting and Backtest Performance.pdf","81F7F2CBCC1DEC248894EC5B8AFCDFAFD1250EA2D213704796FEFAF4903E7C1B","Legal public PDF from Batch 02 ingestion; provider=direct_pdf; PDFs copied into docs/literature on 2026-07-07.","backtest-overfitting; data-snooping; research-discipline; multiple-testing","Relevant to Limni research discipline, multiple-testing control, backtest overfitting, and performance-statistic skepticism."
