metric,definition,content_hash
close_event_total_realized_pnl_adr,sum of close-cycle realized price PnL in ADR units; same numeric value as adr_normalized_return_pct because one ADR is reported as one percent,A7DF2A6D0798EEFF4E90DABADB6E1E777E7EF15B5F785017428542865975C004
close_event_avg_realized_pnl_adr,"average realized price PnL per closed side cycle in ADR units, before commission and swap",343EA51F7B98976A4196440F3FC36B56B5F76021497AA31B5C27C50C2258A373
close_event_avg_mfe_adr,"average Maximum Favorable Excursion per closed side cycle in ADR units, computed from observed cycle max_pnl_adr",24AC7A4E77E6930BD9F1714F2C3B327A915C03F4561879697AF65456D5E337BC
close_event_avg_mae_adr_abs,"average absolute Maximum Adverse Excursion per closed side cycle in ADR units, computed from observed negative cycle min_pnl_adr",B316A2D8776DB020406B6572C84E7C8F541B498C13D9645E0BADBF5A9084B825
first_mfe_0_5q/1q/2q/3q_timestamp_utc,first timestamp while the cycle was open when net cycle PnL reached the named favorable quantum threshold; used for live-safe profit-first diagnostics,E5EF992DAB2783D8DC458A2B8EE10A4E9203FD1FCC404F30CF62CC468105C7B9
first_mae_0_5q/1q/2q/3q_timestamp_utc,first timestamp while the cycle was open when net cycle PnL reached the named adverse quantum threshold; used for live-safe pain-first diagnostics,F366C3F6F5F0D1E5F4077AE3B6D8E14F73718F0C9C6D34453F25F18320282B2C
max_pnl_timestamp_utc,timestamp when observed cycle MFE was first set to its maximum value in the replay path,5039EDC6007CD4DFD22D63E4A298B07FA8A7606576991CBA1BF439F6F98FBCCA
min_pnl_timestamp_utc,timestamp when observed cycle MAE was first set to its worst value in the replay path,3ADF8564229BE5F6407BFBECD72FFE131014813AB26C3F5503BAFD79C1CC6C7F
close_event_mfe_1q/2q/3q_hit_pct,"share of closed side cycles whose observed MFE reached at least one, two, or three cycle-spacing quanta before close",D919CA2D86BC43C72E285960D8E7CD28368E79B07606BC29E1B9BD55BEEDC7DD
close_event_mae_1q/2q/3q_hit_pct,"share of closed side cycles whose observed MAE reached at least one, two, or three cycle-spacing quanta before close",FA018E236F66A1D490A4E375116D3EF891DC172A83BA027A5BDF57995ABAE01F
close-event-breakdown.rows,"non-summary close-cycle aggregate artifact grouped by anchor week, close month, pair, pair side, close reason, and strategy class; includes ADR-normalized return percent plus costed account-return percent",0C152154E41F2B7CB422D7E4081F26B4F4C052758283BA0A7BE3F6839B26E23B
close_event_start_timestamp_utc,cycle start timestamp emitted on close-event rows for downstream start-level trigger traceability,D5363BB043FF70569B1C3909160CBE8A093F535493C7E4FDCEF2DF5A70FF7ECE
close_event_cycle_id,stable side-cycle identifier emitted on close-event rows so close outcomes can be matched to cycle starts,551DB27422F1D2F114A5985416561F6EAC0C86FC7450EE1EBD15777EE99F8FA0
target_close_net_usd,"aggregate net USD from close cycles closed by target reset, including price PnL, commission, and swap",91F27E45ADB1CA581453DAB2BCBD800ACB91B5FEC6E27876F9914816883AD48B
session_flatten_close_net_usd,"aggregate net USD from close cycles force-closed by the configured session flatten boundary, including price PnL, commission, and swap",8DD7F69FC3753FCDB6FCD0F81156B8F0F2278E9137537FE52154274553134598
activation_started_long/short,number of initial side cycles started after the activation gate allowed that side,03A65190EA3B13A3A2C9C62B315E0F711BEE68FBA3BE2F3650C156B79E885876
activation_blocked_long/short,number of missing-side start checks rejected by the activation gate,240738E5EACC0DA05E2B91A1DBF18B2A7BAF8ED21CDC25DDECABC74C30D5B2B8
activation_blocked_expansion,number of missing-side start checks where the signal allowed the side but price was not far enough from the David MA,99F1DDFC200A6A576681732B86AC170BB21D094C1BA606F3D7ACA069F62766AD
