scenario_id,rule_id,rule_family,all_in_cost_adr_per_fill,swap_drag_adr_per_active_side_week,gross_final_equity_adr,total_fills,fill_cost_adr,swap_drag_proxy_adr,stressed_final_equity_adr,stressed_max_drawdown_adr,stressed_return_drawdown,scenario_read,content_hash
wide_execution_visible_swap,LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,0.025,0.005,27114.519974,102551,2563.775,52.22,24377.574974,-597.244842,40.816719,wide retail or volatile spread proxy,28D8608EA1DA3E5D44DB37CFD35BBE59C46113B6B965F64981FFB731E711A74D
stress_execution_high_swap,LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,0.05,0.01,27114.519974,102551,5127.55,104.44,21640.629974,-632.389842,34.220395,Gate80 high cost stress plus swap drag,8F261EA2438FD8E84677614675DB23817DC8D1FD4E2F03F96AE5B23063D8482F
extreme_execution_punitive_swap,LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,0.1,0.02,27114.519974,102551,10255.1,208.88,16166.739974,-702.679842,23.007263,"kill-test proxy, not expected broker base case",5AC953E31BA052701C3D749874B99EE245ECD41DD551EC8E588F126BAC801203
tight_execution_no_swap,SHORT_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,0.005,0,26531.777745,102201,511.005,0,25988.722745,-696.553413,37.310452,tight spread plus commission proxy,5029E1A815CFE62A7C033E103D79CB6128E7B6C38A5A8E31E83180DE3E38E7ED
normal_execution_small_swap,SHORT_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,0.01,0.0025,26531.777745,102201,1022.01,26.11,25419.557745,-699.153413,36.357625,normal first-pass broker proxy,3CE46D6F5A3E0E82295B68F92744BF66D48F7D9A7B046666F9BBDABAA0BAEBB7
wide_execution_visible_swap,SHORT_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,0.025,0.005,26531.777745,102201,2555.025,52.22,23764.282745,-706.813413,33.62172,wide retail or volatile spread proxy,663599CB21042649F0A2AA1974C9AF678D00BD2D65B0577FCA30DFA43431F15B
stress_execution_high_swap,SHORT_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,0.05,0.01,26531.777745,102201,5110.05,104.44,20996.787745,-719.603413,29.178277,Gate80 high cost stress plus swap drag,D6D909399C1EB4EFB55B007659A70A04A02958454A8E192CCEA270C38FF887CA
extreme_execution_punitive_swap,SHORT_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,0.1,0.02,26531.777745,102201,10220.1,208.88,15461.797745,-760.710674,20.325464,"kill-test proxy, not expected broker base case",34027A9730134A5692146B1F8C11264BD553AE82B343D9CE956EF5687EBA5B62
tight_execution_no_swap,DETERMINISTIC_RANDOM_SIDE_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,0.005,0,26726.881812,102253,511.265,0,26187.576812,-377.337096,69.401013,tight spread plus commission proxy,895443A1473D266B561514FAC4D08211CAB31FCC8727C6D2A9F194159892684A
normal_execution_small_swap,DETERMINISTIC_RANDOM_SIDE_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,0.01,0.0025,26726.881812,102253,1022.53,26.11,25622.161812,-379.362096,67.540121,normal first-pass broker proxy,7883D5F4737EEE7DB7DA28E2F7582F5F1C4C6BC760C39E79CC4B61D93FE008D3
wide_execution_visible_swap,DETERMINISTIC_RANDOM_SIDE_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,0.025,0.005,26726.881812,102253,2556.325,52.22,23978.136812,-385.297096,62.232851,wide retail or volatile spread proxy,AA521BE6A00607FCA261DEC7C27E610061B630947166BE07FBB3072A4BD5C79D
stress_execution_high_swap,DETERMINISTIC_RANDOM_SIDE_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,0.05,0.01,26726.881812,102253,5112.65,104.44,21229.391812,-395.212096,53.716453,Gate80 high cost stress plus swap drag,F00C04ABD476F401B451C15D7814A568D018B06160A1961AB786E43B7BF9DC15
extreme_execution_punitive_swap,DETERMINISTIC_RANDOM_SIDE_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,0.1,0.02,26726.881812,102253,10225.3,208.88,15731.901812,-415.042096,37.904352,"kill-test proxy, not expected broker base case",9EE6A1F3E0714B07F7FFD1930F1B275E66D4FE6CD056837B09853AEBF1A4ED2E
