week_start,week_end,decision_asof,pair,candidate_b_direction,realized_pair_return_this_week,realized_pair_return_next_week,candidate_b_correct_this_week,candidate_b_correct_next_week,was_jpy_pair,was_usd_pair,stress_notes,revma_deposit_load_pct,revma_equity_dd_pct,revma_managed_positions,revma_open_grids,revma_pair_floating_pnl,revma_currency_exposure,candidate_b_aligned_with_revma_inventory,candidate_b_opposed_revma_inventory,candidate_b_would_have_blocked_or_warned
2024-08-04,2024-08-11,2024-08-04,AUDJPY,JPY over AUD,-0.904272,-0.663435,false,false,true,false,candidate_b_jpy_strength;this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,AUDNZD,AUD over NZD,0.11648,0.748143,true,true,false,false,candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,true
2024-08-04,2024-08-11,2024-08-04,AUDUSD,USD over AUD,-1.344357,-0.942768,false,false,false,true,candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,true
2024-08-04,2024-08-11,2024-08-04,CADCHF,CHF over CAD,-2.165959,-0.430499,false,false,false,false,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,CADJPY,CAD over JPY,0.972995,0.382618,true,true,true,false,candidate_b_not_jpy_strength;candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,true
2024-08-04,2024-08-11,2024-08-04,CHFJPY,CHF over JPY,-0.217058,0.180134,false,true,true,false,candidate_b_not_jpy_strength;candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,true
2024-08-04,2024-08-11,2024-08-04,EURAUD,EUR over AUD,-1.305721,-0.291907,false,false,false,false,candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,true
2024-08-04,2024-08-11,2024-08-04,EURCAD,EUR over CAD,-1.882273,1.032611,false,true,false,false,this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,EURCHF,CHF over EUR,-1.381199,-1.051332,false,false,false,false,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,EURGBP,EUR over GBP,0.592466,-0.70576,true,false,false,false,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,EURJPY,EUR over JPY,0.456261,0.744082,true,true,true,false,candidate_b_not_jpy_strength;candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,true
2024-08-04,2024-08-11,2024-08-04,EURNZD,EUR over NZD,-1.37318,0.231257,false,true,false,false,this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,EURUSD,EUR over USD,0.197827,1.267869,true,true,false,true,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,GBPAUD,AUD over GBP,1.874545,-0.08971,true,false,false,false,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,GBPCAD,CAD over GBP,2.436907,-1.588415,true,false,false,false,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,GBPCHF,CHF over GBP,-0.764971,-1.104338,false,false,false,false,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,GBPJPY,JPY over GBP,-0.25114,-0.833546,false,false,true,false,candidate_b_jpy_strength;this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,GBPNZD,NZD over GBP,1.888029,-0.67118,true,false,false,false,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,GBPUSD,USD over GBP,0.325216,-1.711902,true,false,false,true,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,NZDCAD,CAD over NZD,-0.137786,-0.447833,false,false,false,false,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,NZDCHF,CHF over NZD,-1.847766,-0.548901,false,false,false,false,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,NZDJPY,NZD over JPY,0.983595,0.487388,true,true,true,false,candidate_b_not_jpy_strength;candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,true
2024-08-04,2024-08-11,2024-08-04,NZDUSD,NZD over USD,1.375954,0.482366,true,true,false,true,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,USDCAD,CAD over USD,2.6014,0.29197,true,true,false,true,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,USDCHF,CHF over USD,-1.056657,-0.348008,false,false,false,true,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,USDJPY,JPY over USD,-0.362414,-0.320325,false,false,true,true,candidate_b_jpy_strength;this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,AUDCAD,AUD over CAD,1.040999,0.4191,true,true,false,false,candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,true
2024-08-11,2024-08-18,2024-08-11,AUDCHF,CHF over AUD,-0.784004,0.529001,false,true,false,false,this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,AUDJPY,JPY over AUD,-0.663435,0.224133,false,true,true,false,candidate_b_jpy_strength;this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,AUDNZD,NZD over AUD,-0.748143,1.400059,false,true,false,false,candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,true
2024-08-11,2024-08-18,2024-08-11,AUDUSD,AUD over USD,0.942768,1.575156,true,true,false,true,candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,true
2024-08-11,2024-08-18,2024-08-11,CADCHF,CHF over CAD,-0.430499,1.098264,false,true,false,false,this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,CADJPY,CAD over JPY,0.382618,-0.487525,true,false,true,false,candidate_b_not_jpy_strength;candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,true
2024-08-11,2024-08-18,2024-08-11,CHFJPY,CHF over JPY,0.180134,0.324666,true,true,true,false,candidate_b_not_jpy_strength;candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,true
2024-08-11,2024-08-18,2024-08-11,EURAUD,AUD over EUR,0.291907,0.142148,true,true,false,false,candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,true
2024-08-11,2024-08-18,2024-08-11,EURCAD,EUR over CAD,1.032611,0.439728,true,true,false,false,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,EURCHF,CHF over EUR,-1.051332,1.002916,false,true,false,false,this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,EURGBP,EUR over GBP,-0.70576,-1.055292,false,false,false,false,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,EURJPY,EUR over JPY,0.744082,-0.384044,true,false,true,false,candidate_b_not_jpy_strength;candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,true
2024-08-11,2024-08-18,2024-08-11,EURNZD,EUR over NZD,0.231257,-1.201168,true,false,false,false,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,EURUSD,EUR over USD,1.267869,2.735818,true,true,false,true,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,GBPAUD,AUD over GBP,-0.08971,-0.555349,false,false,false,false,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,GBPCAD,CAD over GBP,-1.588415,-1.351954,false,false,false,false,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,GBPCHF,CHF over GBP,-1.104338,0.321923,false,true,false,false,this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,GBPJPY,JPY over GBP,-0.833546,0.025739,false,true,true,false,candidate_b_jpy_strength;this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,GBPNZD,NZD over GBP,-0.67118,0.68471,false,true,false,false,this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,GBPUSD,USD over GBP,-1.711902,-3.151652,false,false,false,true,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,NZDCAD,CAD over NZD,-0.447833,-1.52944,false,false,false,false,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,NZDCHF,CHF over NZD,-0.548901,-0.162931,false,false,false,false,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,NZDJPY,NZD over JPY,0.487388,0.305305,true,true,true,false,candidate_b_not_jpy_strength;candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,true
2024-08-11,2024-08-18,2024-08-11,NZDUSD,NZD over USD,0.482366,2.402694,true,true,false,true,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,USDCAD,CAD over USD,0.29197,3.096551,true,true,false,true,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,USDCHF,CHF over USD,-0.348008,2.439071,false,true,false,true,this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-08-11,2024-08-18,2024-08-11,USDJPY,USD over JPY,0.320325,-1.269442,true,false,true,true,candidate_b_not_jpy_strength;candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,true
2024-08-18,2024-08-25,2024-08-18,AUDCAD,CAD over AUD,-0.4191,0.439764,false,true,false,false,candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,true
2024-08-18,2024-08-25,2024-08-18,AUDCHF,CHF over AUD,0.529001,-0.101735,true,false,false,false,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,AUDJPY,JPY over AUD,0.224133,-0.884215,true,false,true,false,candidate_b_jpy_strength;this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,AUDNZD,AUD over NZD,-1.400059,-1.076432,false,false,false,false,candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,true
2024-08-18,2024-08-25,2024-08-18,AUDUSD,USD over AUD,-1.575156,0.055593,false,true,false,true,candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,true
2024-08-18,2024-08-25,2024-08-18,CADCHF,CHF over CAD,1.098264,-0.551359,true,false,false,false,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,CADJPY,CAD over JPY,-0.487525,1.113156,false,true,true,false,candidate_b_not_jpy_strength;candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,true
2024-08-18,2024-08-25,2024-08-18,CHFJPY,CHF over JPY,0.324666,1.12909,true,true,true,false,candidate_b_not_jpy_strength;candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,true
2024-08-18,2024-08-25,2024-08-18,EURAUD,AUD over EUR,0.142148,1.719068,true,true,false,false,candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,true
2024-08-18,2024-08-25,2024-08-18,EURCAD,EUR over CAD,0.439728,-2.834154,true,false,false,false,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,EURCHF,CHF over EUR,1.002916,1.808347,true,true,false,false,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,EURGBP,EUR over GBP,-1.055292,-1.287057,false,false,false,false,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,EURJPY,EUR over JPY,-0.384044,0.065953,false,true,true,false,candidate_b_not_jpy_strength;candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,true
2024-08-18,2024-08-25,2024-08-18,EURNZD,EUR over NZD,-1.201168,-2.225343,false,false,false,false,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,EURUSD,EUR over USD,2.735818,-1.736839,true,false,false,true,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,GBPAUD,AUD over GBP,-0.555349,0.911536,false,true,false,false,this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,GBPCAD,CAD over GBP,-1.351954,1.620342,false,true,false,false,this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,GBPCHF,CHF over GBP,0.321923,0.595984,true,true,false,false,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,GBPJPY,JPY over GBP,0.025739,-0.534522,true,false,true,false,candidate_b_jpy_strength;this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,GBPNZD,NZD over GBP,0.68471,1.577257,true,true,false,false,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,GBPUSD,USD over GBP,-3.151652,0.858881,false,true,false,true,this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,NZDCAD,CAD over NZD,-1.52944,-0.380116,false,false,false,false,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,NZDCHF,CHF over NZD,-0.162931,-0.768354,false,false,false,false,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,NZDJPY,NZD over JPY,0.305305,1.44237,true,true,true,false,candidate_b_not_jpy_strength;candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,true
2024-08-18,2024-08-25,2024-08-18,NZDUSD,NZD over USD,2.402694,0.521193,true,true,false,true,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,USDCAD,CAD over USD,3.096551,0.578697,true,true,false,true,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,USDCHF,CHF over USD,2.439071,-0.188914,true,false,false,true,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-18,2024-08-25,2024-08-18,USDJPY,USD over JPY,-1.269442,0.858571,false,true,true,true,candidate_b_not_jpy_strength;candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,true
