metric,definition,content_hash
triangle_formulaic_q_equation,"Gate 91 equation: Q = max(R / (2 + 2 * (1 - PE)), C), where C=0.05 ADR and PE above 0.35 is rejected as too clean/trendy",635049648B631905F93F792942375F3A8EB168936D1AB581EFB2FF4A371B7221
triangle_formulaic_directionless_geometry_v2,"Gate 91 v2 scaffold rule that ignores direction evidence, computes Q from cost-adjusted bending path, targets a median-session center band, and starts symmetric long/short extensions away from that center",C1DE318A3125DEB4B45BBE687F739B0CA5824C3CCDC59B9B58245EF117348B2A
triangle_formulaic_v2_q_equation,"Gate 91 v2 equation: Q = max(Q_cost, current_volatility_floor, R / (1 + sqrt(B_cost / Q_cost))), where Q_cost is 4x the modeled round-trip cost in ADR units",4B40EEFE509409448CC61ABDD66508DEB8889D6DCC41A67142AF2DC9295A14E6
reversion_target_band_adr,"per-cycle center-band target radius in ADR units; v2 sets it to max(Q/4, Q_cost/2) and closes only when the basket is price-green inside the band",45387F920729B8DA41CF3461A540E5C467417D160DACDF2B8FB148813F4FC2C3
triangle_geometry_q_cost_adr,"per-cycle v2 economic spacing floor in ADR units; commission-derived round-trip cost is used when USD conversion is available, otherwise the legacy fallback floor is receipted",67FA9D1587DE42DA3A030013FA3A09FAAC5B5AC5E5970F4F7FF60447272AFB3C
triangle_geometry_round_trip_cost_adr,per-cycle modeled round-trip cost in ADR units used by v2 geometry; spread and slippage are not included in this runner,D257F4A7679DC0570161D9BF73F0CD033AB9198A425678C53A139C5FE158A2BD
triangle_geometry_p_raw_adr,completed-session total absolute close-path movement in ADR units before cost filtering,148A36DD6866C064637964341E13942E1D5C936FA0127D4F7846199CD46394FA
triangle_geometry_p_cost_adr,completed-session path movement after subtracting one-way cost from each close-path delta and flooring each delta at zero,BBF0357CEA435AB4D16E073D6BB9AFDA71CC3E3A8024AB236A063AD1667E8551
triangle_geometry_b_cost_adr,"completed-session cost-adjusted bending path: max(P_cost - net session displacement, 0)",990D34F90452E70739B8C03BE4EE38C0881CF8BF3A9EC2C687D2E393FB669187
triangle_geometry_balance,"completed-session time balance around the median M1 close center; 1 is balanced, 0 is one-sided occupancy",4B681E3CDC2A165E47BC188F4D5F4189D8E812D21A6E3AF907FDFE2FA20CFA8C
triangle_geometry_quality,v2 geometry score: (B_cost / Q) * balance; the first v2 scaffold requires this to be at least one,0104BDD53DF22F4750F291231277BE957ED0C3382BE3908081BC827941F0A35F
triangle_geometry_current_volatility_adr,completed-session median absolute close-path delta in ADR units used as the v2 current-volatility floor,6FF6284CF29156E21D994085E355BD1CDBD29E65AA8A25CF85BBDCCEBFB21327
cycle_signal_adr_brick,"per-cycle derived signal event brick; Gate 91 v1 sets it to Q/4, and v2 sets it to max(Q/4, Q_cost/2) instead of using a fixed ADR-event brick",B33533692D155CE387E2FE6926BF669289A6B20518B02DB01C710DD790931152
reversion_target_price,"per-cycle non-David reversion target price; Gate 91 v1 formulaic geometry uses the completed session midpoint, and v2 uses the completed-session median M1 close center",EDC342E86BBCC1373A6CF6F30C20C4ED7535334A040B9B51575267F3D89CC2BC
cycle_spacing_adr,"actual ADR spacing assigned to the side cycle at start; triangle_v0/v1 use the Gate 90D adaptive spacing receipt, Gate 91 v1 uses Q from range/path efficiency/cost floor, and Gate 91 v2 uses cost-adjusted bending-path Q",FD6DD70A580D55864BA83EDA09CA47F342068DAFC0B6E0302F05B607E195FE26
triangle_trigger_key,"stable provenance key for the session box, side, sweep, and displacement trigger that started a triangle_v0 cycle",DD3C56BF1570C4BA4458D47CA34E27AFB605FE67DB99775419F71CA157DBCDDA
triangle_v0_formula_id,scaffold formula identifier for the Gate 90D bounded Triangle v0 replay path,4CB4DF788EEFD484A5B28B2AD7D020D37209582C7548DFCCC284F6363E7F44A6
min_ma_expansion_adr,"minimum side-specific distance from current David MA required before a missing side can start; long requires price below MA, short requires price above MA",EB16F1581DCF78A1A2CD1F8C027D11A2F967F2FDC0904A39024A33FC8D308A2A
grid_add_mode,adverse_and_favorable keeps both recovery and favorable expansion adds; adverse_only adds only when price moves against the side from its cycle anchor,93CE73D3D40073849ADF687C2C2FAE83C228B9D0792EDD9A522BBAA9EF57BB75
close_event_profit_factor,gross winning close-cycle net USD divided by absolute gross losing close-cycle net USD; computed even in summary-only mode without retaining close-event rows,9B91A55C97258C99A56537EDBFD14CFEC4B9F8F0ED6AB0640DF0B5134DA62ECE
close_event_win_pct,"winning close-cycle count divided by all close cycles; target, session_flatten, and end_of_test close reasons are included",4D525F8F4EE71C930A525508C5C9B9E0544C60E944633CAA482D3A661A1CD685
adr_normalized_return_pct,price-movement return normalized by each pair's ADR; one ADR is reported as one percent for cross-currency comparison; commission and swap remain costed in USD fields,ADA7A640A6CF7255C8A431228C8BED846151DFA9416CAF7D2E880CC376F7580C
close_event_total_realized_pnl_adr,sum of close-cycle realized price PnL in ADR units; same numeric value as adr_normalized_return_pct because one ADR is reported as one percent,A7DF2A6D0798EEFF4E90DABADB6E1E777E7EF15B5F785017428542865975C004
close_event_total_realized_market_pct,sum of close-cycle realized raw market-percent movement before ADR normalization; fill-weighted and still separate from costed USD account return,40E343FA0A7A9CA1B8E29102EC699B828EC77ACB7667EED3A7E118969189490C
close_event_avg_realized_pnl_adr,"average realized price PnL per closed side cycle in ADR units, before commission and swap",343EA51F7B98976A4196440F3FC36B56B5F76021497AA31B5C27C50C2258A373
close_event_avg_realized_market_pct,"average realized raw market-percent movement per closed side cycle, before ADR normalization and before commission/swap",062D7EE519C83E9FFB5983FCF5AD522CFA76742D0A1A8DB6812AE01575C2C395
close_event_avg_mfe_adr,"average Maximum Favorable Excursion per closed side cycle in ADR units, computed from observed cycle max_pnl_adr",24AC7A4E77E6930BD9F1714F2C3B327A915C03F4561879697AF65456D5E337BC
close_event_avg_mae_adr_abs,"average absolute Maximum Adverse Excursion per closed side cycle in ADR units, computed from observed negative cycle min_pnl_adr",B316A2D8776DB020406B6572C84E7C8F541B498C13D9645E0BADBF5A9084B825
close_event_avg_mfe_market_pct,average raw market-percent Maximum Favorable Excursion per closed side cycle,12A2987FC49DBB8380DADFDD395901F1347C64E6AC59AF0EEBCE753F5AAA6C8C
close_event_avg_mae_market_pct_abs,average absolute raw market-percent Maximum Adverse Excursion per closed side cycle,E3C2274D48D6B49CBC6C9884394F1FAB0E763B503BAE0FFAEF1C42B35CC3F2BD
first_mfe_0_5q/1q/2q/3q_timestamp_utc,first timestamp while the cycle was open when net cycle PnL reached the named favorable quantum threshold; used for live-safe profit-first diagnostics,E5EF992DAB2783D8DC458A2B8EE10A4E9203FD1FCC404F30CF62CC468105C7B9
first_mae_0_5q/1q/2q/3q_timestamp_utc,first timestamp while the cycle was open when net cycle PnL reached the named adverse quantum threshold; used for live-safe pain-first diagnostics,F366C3F6F5F0D1E5F4077AE3B6D8E14F73718F0C9C6D34453F25F18320282B2C
max_pnl_timestamp_utc,timestamp when observed cycle MFE was first set to its maximum value in the replay path,5039EDC6007CD4DFD22D63E4A298B07FA8A7606576991CBA1BF439F6F98FBCCA
min_pnl_timestamp_utc,timestamp when observed cycle MAE was first set to its worst value in the replay path,3ADF8564229BE5F6407BFBECD72FFE131014813AB26C3F5503BAFD79C1CC6C7F
close_event_mfe_1q/2q/3q_hit_pct,"share of closed side cycles whose observed MFE reached at least one, two, or three cycle-spacing quanta before close",D919CA2D86BC43C72E285960D8E7CD28368E79B07606BC29E1B9BD55BEEDC7DD
close_event_mae_1q/2q/3q_hit_pct,"share of closed side cycles whose observed MAE reached at least one, two, or three cycle-spacing quanta before close",FA018E236F66A1D490A4E375116D3EF891DC172A83BA027A5BDF57995ABAE01F
close-event-breakdown.rows,"non-summary close-cycle aggregate artifact grouped by anchor week, close month, pair, pair side, close reason, and strategy class; includes ADR-normalized return percent plus costed account-return percent",0C152154E41F2B7CB422D7E4081F26B4F4C052758283BA0A7BE3F6839B26E23B
close_event_start_timestamp_utc,cycle start timestamp emitted on close-event rows for downstream start-level trigger traceability,D5363BB043FF70569B1C3909160CBE8A093F535493C7E4FDCEF2DF5A70FF7ECE
close_event_cycle_id,stable side-cycle identifier emitted on close-event rows so close outcomes can be matched to cycle starts,551DB27422F1D2F114A5985416561F6EAC0C86FC7450EE1EBD15777EE99F8FA0
target_close_net_usd,"aggregate net USD from close cycles closed by target reset, including price PnL, commission, and swap",91F27E45ADB1CA581453DAB2BCBD800ACB91B5FEC6E27876F9914816883AD48B
session_flatten_close_net_usd,"aggregate net USD from close cycles force-closed by the configured session flatten boundary, including price PnL, commission, and swap",8DD7F69FC3753FCDB6FCD0F81156B8F0F2278E9137537FE52154274553134598
activation_started_long/short,number of initial side cycles started after the activation gate allowed that side,03A65190EA3B13A3A2C9C62B315E0F711BEE68FBA3BE2F3650C156B79E885876
activation_blocked_long/short,number of missing-side start checks rejected by the activation gate,240738E5EACC0DA05E2B91A1DBF18B2A7BAF8ED21CDC25DDECABC74C30D5B2B8
activation_blocked_expansion,number of missing-side start checks where the signal allowed the side but price was not far enough from the David MA,99F1DDFC200A6A576681732B86AC170BB21D094C1BA606F3D7ACA069F62766AD
